itemID,ctrlNo,itemName,description,qty,unit,brand,model,serialNo,capacity,itemCondition,accountable,IDNumber,acquiredDate,purchasePrice,notes,settingsID,itemCategory,itemSubCategory,processDate,qtyShortage,shortageValue,fundCluster,PARNo,aDepreciation,aLosses,adjustments,aCost,OAC,estUsefulLife,DepreciationRate,office,ICSNo,Supplier,itemType,Qualification
1,WCMCPU002FEMO,System Unit,,1,unit,,,,,Good,,2014077,01/01/2024,0,"Pulled out by Archertech Inc. for integration - August 11, 2022
      - CPU File Server

[02/10/2023] - On premise Network Controller",1,Machinery and Equipment,ICT Equipment,,,,,1222,,,,10,,5,,,123,,,
2,WCMMTB00005,Motherboard,,1,unit,ASUS,P5KPL-AM SE,9BM0AD359072,,Good,,2014077,02/01/2024,0,,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
3,WCMMTB00006,Motherboard,,1,unit,ASUS,P8H61-MLE,B3M0AC488115,,Good,,2014077,03/01/2024,0,,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
4,WCMMTB00007,Motherboard,,1,unit,ASUS,P8H61-MLE,C8M0CS078686,,Good,,2014077,04/01/2024,0,,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
5,WCMPRINT0002,Printer,,1,unit,HP,HP Deskjet Ink Advantage 2135,,,Good,,2014077,05/01/2024,0,"not printing, cartridge not recognized",1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
6,WCMKB00026,Peripherals,,1,unit,A4TECH,,,,Good,,2014077,06/01/2024,0,Good working condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
7,WCMCPU00001,CPU/Processor,,1,unit,Intel,i7-9700,80YR357000722,,Good,,2014077,07/01/2024,0,File Server CPU,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
8,WCMCPU00002,CPU/Processor,,1,unit,Intel,i5-8400,M9471WJ700853,,Good,,2014077,08/01/2024,0,Domain Controller CPU,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
9,WCMWLR00012,Wi-Fi Router,,1,unit,TP-Link,AC750,,,Good,,2014077,09/01/2024,0,installed at room 304,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
10,WCMCPU00003,CPU/Processor,,1,unit,Intel,i3-9100,U92T2J2600171,,Good,,2014077,10/01/2024,0,Firewall CPU,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
11,WCMCPU00004,CPU/Processor,,1,unit,Intel,i3-9100,U94J7Y2601711,,Good,,2014077,11/01/2024,0,New Registrar PC CPU,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
12,WCMCPU00005,CPU/Processor,,1,unit,Intel,i3-10100,80FD386704460,,Good,,2014077,12/01/2024,0,New Registrar Staff PC CPU,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
13,WCMWLR00006,,,1,unit,TP-Link,TL-WR940N,,,Good,,2014077,13/01/2024,0,Active,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
